prime_mover_code,energy_source_code,boiler_firing_type,emission_factor,emission_factor_numerator,emission_factor_denominator,multiply_by_sulfur_content
OT,AB,cell_burner,0.08,lb,short ton,0
OT,AB,cyclone_firing,0.08,lb,short ton,0
OT,AB,duct_burner,0.08,lb,short ton,0
OT,AB,fluidized_bed_firing,0.01,lb,short ton,0
OT,AB,none,0.08,lb,short ton,0
OT,AB,other,0.08,lb,short ton,0
OT,AB,stoker,0.08,lb,short ton,0
OT,AB,tangential_firing,0.08,lb,short ton,0
OT,AB,vertical_firing,0.08,lb,short ton,0
OT,AB,wall_fired,0.08,lb,short ton,0
ST,AB,cell_burner,0.08,lb,short ton,0
ST,AB,cyclone_firing,0.08,lb,short ton,0
ST,AB,duct_burner,0.08,lb,short ton,0
ST,AB,fluidized_bed_firing,0.01,lb,short ton,0
ST,AB,none,0.08,lb,short ton,0
ST,AB,other,0.08,lb,short ton,0
ST,AB,stoker,0.08,lb,short ton,0
ST,AB,tangential_firing,0.08,lb,short ton,0
ST,AB,vertical_firing,0.08,lb,short ton,0
ST,AB,wall_fired,0.08,lb,short ton,0
CA,BFG,cell_burner,0.0006,lb,Mcf,0
CA,BFG,cyclone_firing,0.0006,lb,Mcf,0
CA,BFG,duct_burner,0.0006,lb,Mcf,0
CA,BFG,fluidized_bed_firing,0.0006,lb,Mcf,0
CA,BFG,none,0.0006,lb,Mcf,0
CA,BFG,other,0.0006,lb,Mcf,0
CA,BFG,stoker,0.0006,lb,Mcf,0
CA,BFG,tangential_firing,0.0006,lb,Mcf,0
CA,BFG,vertical_firing,0.0006,lb,Mcf,0
CA,BFG,wall_fired,0.0006,lb,Mcf,0
CS,BFG,cell_burner,0.0006,lb,Mcf,0
CS,BFG,cyclone_firing,0.0006,lb,Mcf,0
CS,BFG,duct_burner,0.0006,lb,Mcf,0
CS,BFG,fluidized_bed_firing,0.0006,lb,Mcf,0
CS,BFG,none,0.0006,lb,Mcf,0
CS,BFG,other,0.0006,lb,Mcf,0
CS,BFG,stoker,0.0006,lb,Mcf,0
CS,BFG,tangential_firing,0.0006,lb,Mcf,0
CS,BFG,vertical_firing,0.0006,lb,Mcf,0
CS,BFG,wall_fired,0.0006,lb,Mcf,0
CT,BFG,cell_burner,0.0006,lb,Mcf,0
CT,BFG,cyclone_firing,0.0006,lb,Mcf,0
CT,BFG,duct_burner,0.0006,lb,Mcf,0
CT,BFG,fluidized_bed_firing,0.0006,lb,Mcf,0
CT,BFG,none,0.0006,lb,Mcf,0
CT,BFG,other,0.0006,lb,Mcf,0
CT,BFG,stoker,0.0006,lb,Mcf,0
CT,BFG,tangential_firing,0.0006,lb,Mcf,0
CT,BFG,vertical_firing,0.0006,lb,Mcf,0
CT,BFG,wall_fired,0.0006,lb,Mcf,0
GT,BFG,cell_burner,0.0006,lb,Mcf,0
GT,BFG,cyclone_firing,0.0006,lb,Mcf,0
GT,BFG,duct_burner,0.0006,lb,Mcf,0
GT,BFG,fluidized_bed_firing,0.0006,lb,Mcf,0
GT,BFG,none,0.0006,lb,Mcf,0
GT,BFG,other,0.0006,lb,Mcf,0
GT,BFG,stoker,0.0006,lb,Mcf,0
GT,BFG,tangential_firing,0.0006,lb,Mcf,0
GT,BFG,vertical_firing,0.0006,lb,Mcf,0
GT,BFG,wall_fired,0.0006,lb,Mcf,0
IC,BFG,cell_burner,0.0006,lb,Mcf,0
IC,BFG,cyclone_firing,0.0006,lb,Mcf,0
IC,BFG,duct_burner,0.0006,lb,Mcf,0
IC,BFG,fluidized_bed_firing,0.0006,lb,Mcf,0
IC,BFG,none,0.0006,lb,Mcf,0
IC,BFG,other,0.0006,lb,Mcf,0
IC,BFG,stoker,0.0006,lb,Mcf,0
IC,BFG,tangential_firing,0.0006,lb,Mcf,0
IC,BFG,vertical_firing,0.0006,lb,Mcf,0
IC,BFG,wall_fired,0.0006,lb,Mcf,0
OT,BFG,cell_burner,0.0006,lb,Mcf,0
OT,BFG,cyclone_firing,0.0006,lb,Mcf,0
OT,BFG,duct_burner,0.0006,lb,Mcf,0
OT,BFG,fluidized_bed_firing,0.00006,lb,Mcf,0
OT,BFG,none,0.0006,lb,Mcf,0
OT,BFG,other,0.0006,lb,Mcf,0
OT,BFG,stoker,0.0006,lb,Mcf,0
OT,BFG,tangential_firing,0.0006,lb,Mcf,0
OT,BFG,vertical_firing,0.0006,lb,Mcf,0
OT,BFG,wall_fired,0.0006,lb,Mcf,0
ST,BFG,cell_burner,0.0006,lb,Mcf,0
ST,BFG,cyclone_firing,0.0006,lb,Mcf,0
ST,BFG,duct_burner,0.0006,lb,Mcf,0
ST,BFG,fluidized_bed_firing,0.00006,lb,Mcf,0
ST,BFG,none,0.0006,lb,Mcf,0
ST,BFG,other,0.0006,lb,Mcf,0
ST,BFG,stoker,0.0006,lb,Mcf,0
ST,BFG,tangential_firing,0.0006,lb,Mcf,0
ST,BFG,vertical_firing,0.0006,lb,Mcf,0
ST,BFG,wall_fired,0.0006,lb,Mcf,0
CA,BIT,duct_burner,38*S,lb,short ton,1
CA,BIT,none,38*S,lb,short ton,1
OT,BIT,cell_burner,38*S,lb,short ton,1
OT,BIT,cyclone_firing,38*S,lb,short ton,1
OT,BIT,duct_burner,38*S,lb,short ton,1
OT,BIT,fluidized_bed_firing,3.8*S,lb,short ton,1
OT,BIT,none,38*S,lb,short ton,1
OT,BIT,other,38*S,lb,short ton,1
OT,BIT,stoker,38*S,lb,short ton,1
OT,BIT,tangential_firing,38*S,lb,short ton,1
OT,BIT,vertical_firing,38*S,lb,short ton,1
OT,BIT,wall_fired,38*S,lb,short ton,1
ST,BIT,cell_burner,38*S,lb,short ton,1
ST,BIT,cyclone_firing,38*S,lb,short ton,1
ST,BIT,duct_burner,38*S,lb,short ton,1
ST,BIT,fluidized_bed_firing,3.8*S,lb,short ton,1
ST,BIT,none,38*S,lb,short ton,1
ST,BIT,other,38*S,lb,short ton,1
ST,BIT,stoker,38*S,lb,short ton,1
ST,BIT,tangential_firing,38*S,lb,short ton,1
ST,BIT,vertical_firing,38*S,lb,short ton,1
ST,BIT,wall_fired,38*S,lb,short ton,1
OT,BLQ,cell_burner,7,lb,short ton,0
OT,BLQ,cyclone_firing,7,lb,short ton,0
